Time,North
72.81999999998365,-175.6670788590714
72.82099999998366,-175.66946105593632
72.82199999998366,-175.6718432686409
72.82299999998367,-175.67422549719095
72.82399999998367,-175.67660774159222
72.82499999998367,-175.6789900018505
72.82599999998368,-175.68137227797158
72.82699999998368,-175.6837545699612
72.82799999998369,-175.6861368778251
72.8289999999837,-175.68851920156908
72.8299999999837,-175.69090154119883
72.8309999999837,-175.6932838967201
72.83199999998371,-175.69566626813858
72.83299999998371,-175.69804865546
72.83399999998372,-175.70043105869007
72.83499999998372,-175.70281347783447
72.83599999998373,-175.7051959128989
72.83699999998373,-175.70757836388898
72.83799999998374,-175.70996083081045
72.83899999998374,-175.71234331366892
72.83999999998375,-175.71472581247008
72.84099999998375,-175.71710832721953
72.84199999998376,-175.71949085792292
72.84299999998376,-175.72187340458586
72.84399999998377,-175.724255967214
72.84499999998377,-175.7266385458129
72.84599999998377,-175.72902114038817
72.84699999998378,-175.73140375094542
72.84799999998378,-175.73378637749022
72.84899999998379,-175.73616902002814
72.8499999999838,-175.73855167856473
72.8509999999838,-175.74093435310556
72.8519999999838,-175.74331704365616
72.85299999998381,-175.7456997502221
72.85399999998381,-175.74808247280887
72.85499999998382,-175.75046521142204
72.85599999998382,-175.7528479660671
72.85699999998383,-175.75523073674952
72.85799999998383,-175.75761352347484
72.85899999998384,-175.75999632624854
72.85999999998384,-175.76237914507607
72.86099999998385,-175.7647619799629
72.86199999998385,-175.76714483091453
72.86299999998386,-175.76952769793638
72.86399999998386,-175.77191058103392
72.86499999998387,-175.77429348021258
72.86599999998387,-175.77667639547778
72.86699999998388,-175.77905932683493
72.86799999998388,-175.78144227428945
72.86899999998388,-175.78382523784674
72.86999999998389,-175.7862082175122
72.8709999999839,-175.78859121329123
72.8719999999839,-175.79097422518916
72.8729999999839,-175.7933572532114
72.87399999998391,-175.7933572532114
72.87499999998391,-175.79812335765024
72.87599999998392,-175.8005064340775
72.87699999998392,-175.8028895266505
72.87799999998393,-175.80527263537448
72.87899999998393,-175.80765576025482
72.87999999998394,-175.8100389012968
72.88099999998394,-175.81242205850572
72.88199999998395,-175.8148052318869
72.88299999998395,-175.81718842144562
72.88399999998396,-175.81957162718714
72.88499999998396,-175.82195484911676
72.88599999998397,-175.8243380872397
72.88699999998397,-175.82672134156124
72.88799999998398,-175.8291046120866
72.88899999998398,-175.83148789882108
72.88999999998398,-175.83387120176985
72.89099999998399,-175.83625452093816
72.891999999984,-175.8386378563312
72.892999999984,-175.84102120795416
72.893999999984,-175.84340457581226
72.89499999998401,-175.8457879599107
72.89599999998401,-175.8481713602546
72.89699999998402,-175.8505547768492
72.89799999998402,-175.85293820969966
72.89899999998403,-175.85532165881108
72.89999999998403,-175.85770512418864
72.90099999998404,-175.8600886058375
72.90199999998404,-175.86247210376274
72.90299999998405,-175.86485561796954
72.90399999998405,-175.86723914846297
72.90499999998406,-175.86962269524815
72.90599999998406,-175.87200625855823
72.90699999998407,-175.87438983839803
72.90799999998407,-175.87677343477245
72.90899999998408,-175.8791570476863
72.90999999998408,-175.88154067714444
72.91099999998409,-175.8839243231517
72.91199999998409,-175.88630798571288
72.9129999999841,-175.88869166483278
72.9139999999841,-175.8910753605162
72.9149999999841,-175.89345907276794
72.91599999998411,-175.89584280159278
72.91699999998411,-175.8982265469955
72.91799999998412,-175.90061030898082
72.91899999998412,-175.9029940875535
72.91999999998413,-175.9053778827183
72.92099999998413,-175.90776169447997
72.92199999998414,-175.9101455228432
72.92299999998414,-175.9125293678127
72.92399999998415,-175.9149132293932
72.92499999998415,-175.91729710758935
72.92599999998416,-175.91968100240587
72.92699999998416,-175.9220649138474
72.92799999998417,-175.92444884191866
72.92899999998417,-175.92683278662426
72.92999999998418,-175.92921674796887
72.93099999998418,-175.9316007259571
72.93199999998419,-175.93398472059363
72.93299999998419,-175.93636873188302
72.9339999999842,-175.93875275982992
72.9349999999842,-175.9411368044389
