TIME,lat,lon,alt,eph,epv,vel,vn,ve,vd,cog,satellites_visible,id,yaw
1702378467700389,476414676,-1221401652,130528,10,10,2,0,-2,0,29557,15,0,0
1702378467721389,476414676,-1221401652,130528,10,10,2,1,-2,0,29707,15,0,0
1702378467742390,476414676,-1221401652,130528,10,10,2,1,-1,0,29859,15,0,0
1702378467763390,476414676,-1221401652,130528,10,10,2,1,-1,0,30011,15,0,0
1702378467784390,476414676,-1221401652,130528,10,10,2,1,-1,0,30163,15,0,0
1702378467805391,476414676,-1221401652,130528,10,10,2,1,-1,0,30315,15,0,0
1702378467826391,476414676,-1221401652,130528,10,10,2,1,-1,0,30468,15,0,0
1702378467847392,476414676,-1221401652,130528,10,10,2,1,-1,0,30620,15,0,0
1702378467868392,476414676,-1221401652,130528,10,10,2,1,-1,0,30772,15,0,0
1702378467889393,476414676,-1221401652,130528,10,10,2,1,-1,0,30924,15,0,0
1702378467910393,476414676,-1221401652,130528,10,10,2,1,-1,0,31078,15,0,0
1702378467931394,476414676,-1221401653,130528,10,10,2,1,-1,0,31233,15,0,0
1702378467952394,476414676,-1221401653,130528,10,10,2,1,-1,0,31391,15,0,0
1702378467973394,476414676,-1221401653,130528,10,10,2,1,-1,0,31551,15,0,0
1702378467994395,476414676,-1221401653,130528,10,10,2,1,-1,0,31714,15,0,0
1702378468015395,476414676,-1221401653,130528,10,10,2,1,-1,0,31882,15,0,0
1702378468036396,476414676,-1221401653,130528,10,10,2,1,-1,0,32053,15,0,0
1702378468057396,476414676,-1221401653,130528,10,10,2,1,-1,0,32225,15,0,0
1702378468078397,476414676,-1221401653,130528,10,10,2,1,-1,0,32400,15,0,0
1702378468099397,476414676,-1221401653,130529,10,10,2,1,-1,0,32576,15,0,0
1702378468120398,476414677,-1221401653,130529,10,10,2,2,-1,0,32754,15,0,0
1702378468141398,476414677,-1221401653,130529,10,10,2,2,-1,0,32933,15,0,0
1702378468162398,476414677,-1221401653,130529,10,10,2,2,-1,0,33113,15,0,0
1702378468183399,476414677,-1221401653,130529,10,10,2,2,-1,0,33294,15,0,0
1702378468204399,476414677,-1221401653,130529,10,10,2,2,-1,0,33474,15,0,0
1702378468225400,476414677,-1221401653,130529,10,10,2,2,0,0,33652,15,0,0
1702378468246400,476414677,-1221401653,130529,10,10,2,2,0,0,33827,15,0,0
1702378468267401,476414677,-1221401653,130529,10,10,2,2,0,0,33996,15,0,0
1702378468288401,476414677,-1221401653,130529,10,10,2,2,0,0,34159,15,0,0
1702378468309402,476414677,-1221401653,130529,10,10,2,2,0,0,34315,15,0,0
1702378468330402,476414677,-1221401653,130529,10,10,2,2,0,0,34465,15,0,0
1702378468351403,476414677,-1221401653,130529,10,10,2,2,0,0,34608,15,0,0
1702378468372403,476414677,-1221401653,130529,10,10,2,2,0,0,34746,15,0,0
1702378468393403,476414677,-1221401653,130529,10,10,2,2,0,0,34879,15,0,0
1702378468414404,476414677,-1221401653,130528,10,10,2,2,0,0,35004,15,0,0
1702378468435404,476414677,-1221401653,130528,10,10,2,2,0,0,35123,15,0,0
1702378468456405,476414677,-1221401653,130528,10,10,2,2,0,0,35235,15,0,0
1702378468477405,476414677,-1221401653,130528,10,10,2,2,0,0,35345,15,0,0
1702378468498406,476414677,-1221401653,130528,10,10,2,2,0,0,35449,15,0,0
1702378468519406,476414677,-1221401653,130528,10,10,2,2,0,0,35550,15,0,0
1702378468540407,476414677,-1221401653,130528,10,10,2,2,0,0,35649,15,0,0
1702378468561407,476414678,-1221401653,130528,10,10,2,2,0,0,35746,15,0,0
1702378468582407,476414678,-1221401653,130528,10,10,2,2,0,0,35840,15,0,0
1702378468603408,476414678,-1221401653,130528,10,10,2,2,0,0,35932,15,0,0
1702378468624408,476414678,-1221401653,130528,10,10,2,2,0,0,21,15,0,0
1702378468645409,476414678,-1221401653,130528,10,10,2,2,0,0,108,15,0,0
1702378468666409,476414678,-1221401653,130528,10,10,2,2,0,0,192,15,0,0
1702378468687410,476414678,-1221401653,130528,10,10,2,2,0,0,275,15,0,0
1702378468708410,476414678,-1221401653,130528,10,10,2,2,0,0,357,15,0,0
1702378468729411,476414678,-1221401653,130528,10,10,3,2,0,0,439,15,0,0
